,Cod_ID,NOME_UDH,NOME_MUN,IDHM,IDHM_E,IDHM_R,IDHM_L,E_ANOSESTUDO,I_ESCOLARIDADE,I_FREQ_PROP,GINI,CPR
0,1310500000001,Baldim,Baldim (MG),0.592,0.459,0.591,0.766,9.69,0.277,0.591,0.52,26.43
1,1310620001001,Lindéia / Jatobá,Belo Horizonte (MG),0.664,0.565,0.654,0.791,10.48,0.43,0.648,0.4,21.07
2,1310620001002,Solar do Barreiro : Corumbiara,Belo Horizonte (MG),0.582,0.43,0.609,0.751,9.27,0.332,0.49,0.44,22.33
3,1310620001003,Bonsucesso : Novo das Indústrias / São João,Belo Horizonte (MG),0.529,0.358,0.57,0.725,7.95,0.23,0.447,0.41,16.19
4,1310620001004,Vila Olhos d'Água,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
5,1310620001005,Vila Pilar,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
7,1310620001007,Vila Átila de Paiva,Belo Horizonte (MG),0.529,0.358,0.57,0.725,7.95,0.23,0.447,0.41,16.19
8,1310620001008,CDI Jatobá : Conjunto Jatobá Especial / Vila Batik,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
9,1310620001012,Petrópolis / Vila Petrópolis Especial,Belo Horizonte (MG),0.546,0.384,0.585,0.726,9.62,0.28,0.449,0.43,23.35
10,1310620001013,Itaipu : Vila Piratininga Especial,Belo Horizonte (MG),0.517,0.354,0.559,0.699,8.31,0.217,0.453,0.39,14.45
11,1310620001014,Vila Ecológica Águas Claras / Distrito Industrial do Jatobá / Vila Pinho,Belo Horizonte (MG),0.57,0.436,0.587,0.723,9.79,0.312,0.516,0.42,19.06
12,1310620001015,Vale do Jatobá : CDI Jatobá / Santa Cecilia Especial,Belo Horizonte (MG),0.546,0.384,0.585,0.726,9.62,0.28,0.449,0.43,23.35
13,1310620001016,Mangueiras / Vila Mangueiras Especial,Belo Horizonte (MG),0.546,0.384,0.585,0.726,9.62,0.28,0.449,0.43,23.35
14,1310620001017,Alta Tensão 1ª Seção Especial,Belo Horizonte (MG),0.546,0.384,0.585,0.726,9.62,0.28,0.449,0.43,23.35
15,1310620001019,Brasil Industrial : Teixeira Dias / Santa Helena / Pongelupe,Belo Horizonte (MG),0.702,0.606,0.7,0.815,10.3,0.539,0.642,0.45,17.68
16,1310620001020,Tirol : Átila de Paiva / Ademar Maldonado / João Paulo II,Belo Horizonte (MG),0.753,0.694,0.741,0.83,11.02,0.629,0.729,0.47,22.05
17,1310620001021,Santa Margarida Especial,Belo Horizonte (MG),0.692,0.579,0.702,0.816,10.01,0.521,0.611,0.46,22.7
18,1310620001022,Flávio Marques Lisboa : Serra do Curral / Solar do Barreiro,Belo Horizonte (MG),0.66,0.558,0.652,0.79,10.28,0.467,0.61,0.41,20.91
19,1310620001023,Conjunto Jatobá : Olaria / Castanheira,Belo Horizonte (MG),0.629,0.502,0.64,0.775,10.39,0.428,0.544,0.42,18.08
20,1310620001024,Serra do Curral : Miramar / Cardoso,Belo Horizonte (MG),0.621,0.499,0.628,0.766,10.13,0.382,0.571,0.45,20.91
21,1310620001025,Independência / Mineirão,Belo Horizonte (MG),0.572,0.429,0.592,0.737,9.99,0.307,0.507,0.39,16.44
22,1310620001026,Itaipu : Corumbiara / Solar do Barreiro Especial,Belo Horizonte (MG),0.586,0.45,0.599,0.745,10.06,0.326,0.529,0.41,17.64
23,1310620001027,Olaria / Castanheira,Belo Horizonte (MG),0.621,0.499,0.628,0.766,10.13,0.382,0.571,0.45,20.91
24,1310620001028,Novo das Indústrias I / Milionários,Belo Horizonte (MG),0.669,0.561,0.669,0.798,9.92,0.482,0.605,0.41,23.93
25,1310620001029,Diamante : Petrópolis / Vila Petrópolis Especial,Belo Horizonte (MG),0.688,0.595,0.68,0.805,10.58,0.514,0.64,0.41,20.34
26,1310620001030,Barreiro de Baixo / Teixeira Dias,Belo Horizonte (MG),0.834,0.77,0.874,0.862,10.84,0.808,0.751,0.51,23.21
27,1310620001031,Santa Helena : Milionários / Teixeira Dias,Belo Horizonte (MG),0.747,0.689,0.732,0.825,11.05,0.629,0.721,0.43,21.74
28,1310620002001,Cidade Jardim / Santa Lúcia / São Bento,Belo Horizonte (MG),0.909,0.858,0.997,0.878,11.24,0.903,0.837,0.5,24.42
29,1310620002002,Savassi : Boa Viagem / Funcionários,Belo Horizonte (MG),0.916,0.874,1.0,0.879,11.05,0.9,0.862,0.46,22.18
30,1310620002003,Barro Preto / Centro / Santa Efigênia,Belo Horizonte (MG),0.869,0.827,0.917,0.864,11.11,0.853,0.815,0.46,23.07
31,1310620002004,Santo Antônio / São Pedro,Belo Horizonte (MG),0.909,0.888,0.973,0.87,11.41,0.922,0.872,0.43,24.13
32,1310620002005,Novo São Lucas / Serra,Belo Horizonte (MG),0.896,0.852,0.972,0.869,11.23,0.882,0.837,0.49,27.42
33,1310620002006,Acaba Mundo,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
34,1310620002007,Conjunto Santa Maria : Monte São José,Belo Horizonte (MG),0.582,0.43,0.609,0.751,9.27,0.332,0.49,0.44,22.33
35,1310620002008,Monte São José : Vila Bandeirantes / Conjunto Santa Maria,Belo Horizonte (MG),0.582,0.43,0.609,0.751,9.27,0.332,0.49,0.44,22.33
36,1310620002009,Santa Rita de Cássia : Aglomerado Barragem Santa Lúcia,Belo Horizonte (MG),0.582,0.43,0.609,0.751,9.27,0.332,0.49,0.44,22.33
37,1310620002011,Santana do Cafezal : Aglomerado da Serra,Belo Horizonte (MG),0.515,0.332,0.577,0.714,8.56,0.216,0.412,0.44,13.16
38,1310620002014,Carmo / Sion,Belo Horizonte (MG),0.905,0.863,0.984,0.874,11.08,0.898,0.846,0.4,28.15
39,1310620002015,Cruzeiro / Comiteco,Belo Horizonte (MG),0.913,0.865,1.0,0.879,11.04,0.905,0.845,0.5,21.74
40,1310620002016,Santo Agostinho / Lourdes,Belo Horizonte (MG),0.922,0.891,1.0,0.88,11.21,0.9,0.887,0.49,23.54
41,1310620002017,Belvedere,Belo Horizonte (MG),0.913,0.865,1.0,0.879,11.04,0.905,0.845,0.5,21.74
42,1310620002018,Mangabeiras / Parque das Mangabeiras,Belo Horizonte (MG),0.913,0.865,1.0,0.879,11.04,0.905,0.845,0.5,21.74
43,1310620003047,Floresta / Santa Tereza,Belo Horizonte (MG),0.833,0.778,0.864,0.86,10.58,0.808,0.764,0.47,25.02
44,1310620003048,Sagrada Família / Horto Florestal / Santa Inês,Belo Horizonte (MG),0.818,0.77,0.831,0.855,11.14,0.754,0.778,0.47,22.51
45,1310620003049,Vila Nossa Senhora do Rosário,Belo Horizonte (MG),0.652,0.518,0.67,0.798,10.37,0.397,0.592,0.52,21.5
46,1310620003050,João Alfredo,Belo Horizonte (MG),0.606,0.46,0.631,0.768,9.44,0.341,0.534,0.48,19.3
47,1310620003051,Boa Vista,Belo Horizonte (MG),0.684,0.582,0.681,0.807,10.64,0.488,0.636,0.45,22.7
48,1310620003052,Cônego Pinheiro 1ª Seção Especial,Belo Horizonte (MG),0.649,0.516,0.666,0.796,10.22,0.44,0.559,0.48,23.7
49,1310620003053,Alto Vera Cruz,Belo Horizonte (MG),0.581,0.416,0.618,0.763,9.3,0.334,0.465,0.45,20.62
50,1310620003054,Casa Branca / São Geraldo,Belo Horizonte (MG),0.694,0.587,0.7,0.814,10.5,0.504,0.633,0.46,20.77
51,1310620003055,Pompéia / Saudade / Vera Cruz,Belo Horizonte (MG),0.649,0.516,0.666,0.796,10.22,0.44,0.559,0.48,23.7
52,1310620003056,Esplanada / Pirineus / Pompéia,Belo Horizonte (MG),0.759,0.665,0.78,0.843,10.39,0.652,0.672,0.48,22.32
53,1310620003057,Cidade Jardim Taquaril,Belo Horizonte (MG),0.775,0.689,0.798,0.845,10.7,0.676,0.695,0.51,20.72
54,1310620003058,Santa Efigênia / Paraíso,Belo Horizonte (MG),0.775,0.689,0.798,0.845,10.7,0.676,0.695,0.51,20.72
55,1310620003059,São Geraldo,Belo Horizonte (MG),0.736,0.655,0.735,0.828,10.81,0.597,0.686,0.48,20.26
56,1310620003060,Boa Vista / Nova Vista,Belo Horizonte (MG),0.744,0.668,0.742,0.83,10.48,0.618,0.695,0.47,22.3
57,1310620003061,Baleia / Saudade / Vera Cruz,Belo Horizonte (MG),0.701,0.592,0.711,0.819,10.18,0.555,0.612,0.46,21.61
58,1310620003062,Vila São Rafael : Esplanada / Pompéia,Belo Horizonte (MG),0.606,0.46,0.631,0.768,9.44,0.341,0.534,0.48,19.3
59,1310620003063,Pompéia : Vila Paraíso,Belo Horizonte (MG),0.606,0.46,0.631,0.768,9.44,0.341,0.534,0.48,19.3
60,1310620003064,Granja de Freitas : Caetano Furquim / Casa Branca,Belo Horizonte (MG),0.494,0.306,0.562,0.701,8.3,0.231,0.353,0.45,14.99
61,1310620003065,Mariano de Abreu / Vila Boa Vista,Belo Horizonte (MG),0.586,0.45,0.599,0.745,10.06,0.326,0.529,0.41,17.64
62,1310620003066,Vila União,Belo Horizonte (MG),0.606,0.46,0.631,0.768,9.44,0.341,0.534,0.48,19.3
63,1310620003067,Santa Tereza : Buraco Quente,Belo Horizonte (MG),0.606,0.46,0.631,0.768,9.44,0.341,0.534,0.48,19.3
64,1310620003068,São Vicente,Belo Horizonte (MG),0.606,0.46,0.631,0.768,9.44,0.341,0.534,0.48,19.3
65,1310620003072,Cidade Jardim Taquaril : Saudade / Taquaril,Belo Horizonte (MG),0.606,0.46,0.631,0.768,9.44,0.341,0.534,0.48,19.3
66,1310620003076,Santa Efigênia,Belo Horizonte (MG),0.823,0.768,0.846,0.857,10.84,0.762,0.771,0.47,20.81
67,1310620004076,Cidade Nova / Nova Floresta / União,Belo Horizonte (MG),0.865,0.834,0.899,0.862,10.89,0.87,0.816,0.43,21.74
68,1310620004077,Palmares : Nova Floresta / Ipiranga,Belo Horizonte (MG),0.834,0.77,0.874,0.862,10.84,0.808,0.751,0.51,23.21
69,1310620004078,Dom Joaquim / Fernão Dias,Belo Horizonte (MG),0.834,0.77,0.874,0.862,10.84,0.808,0.751,0.51,23.21
70,1310620004079,Concórdia / Lagoinha,Belo Horizonte (MG),0.783,0.699,0.807,0.85,10.51,0.697,0.7,0.47,24.67
71,1310620004080,Renascença : Cachoeirinha / Nova Floresta / Ipiranga,Belo Horizonte (MG),0.796,0.734,0.807,0.85,11.14,0.682,0.761,0.45,27.9
72,1310620004081,Pousada Santo Antonio : Goiânia / Jardim Vitória,Belo Horizonte (MG),0.638,0.508,0.651,0.787,9.92,0.406,0.568,0.43,22.63
73,1310620004082,Beija-flor,Belo Horizonte (MG),0.577,0.418,0.609,0.753,9.36,0.318,0.479,0.45,19.54
74,1310620004083,Vila São Sebastião / Maria Virgínia,Belo Horizonte (MG),0.546,0.384,0.585,0.726,9.62,0.28,0.449,0.43,23.35
75,1310620004084,Dom Silvério / Ouro Minas,Belo Horizonte (MG),0.636,0.522,0.637,0.774,10.1,0.411,0.589,0.42,20.21
76,1310620004085,Maria Virgínia / Santa Cruz,Belo Horizonte (MG),0.76,0.669,0.779,0.842,10.34,0.662,0.673,0.48,26.34
77,1310620004086,União,Belo Horizonte (MG),0.736,0.655,0.735,0.828,10.81,0.597,0.686,0.48,20.26
78,1310620004087,Dom Joaquim,Belo Horizonte (MG),0.731,0.618,0.755,0.837,10.32,0.619,0.617,0.5,24.88
79,1310620004088,Cachoeirinha / Santa Cruz,Belo Horizonte (MG),0.735,0.655,0.734,0.827,10.23,0.563,0.706,0.5,25.28
80,1310620004089,São Paulo,Belo Horizonte (MG),0.694,0.562,0.722,0.822,10.1,0.506,0.592,0.54,22.21
81,1310620004090,Tiradentes : São Cristóvão / Canadá,Belo Horizonte (MG),0.735,0.655,0.734,0.827,10.23,0.563,0.706,0.5,25.28
82,1310620004091,Santa Cruz,Belo Horizonte (MG),0.707,0.626,0.697,0.81,10.29,0.539,0.675,0.46,23.7
83,1310620004092,Dom Silvério / São Gabriel,Belo Horizonte (MG),0.692,0.579,0.702,0.816,10.01,0.521,0.611,0.46,22.7
84,1310620004093,Ribeiro de Abreu : Nazareth / Paulo VI Especial,Belo Horizonte (MG),0.692,0.579,0.702,0.816,10.01,0.521,0.611,0.46,22.7
85,1310620004094,São Marcos / Maria Goretti,Belo Horizonte (MG),0.667,0.557,0.668,0.797,10.37,0.459,0.614,0.43,21.82
86,1310620004095,Acaiaca / Nazareth / Paulo VI,Belo Horizonte (MG),0.615,0.481,0.63,0.767,9.77,0.387,0.537,0.43,21.03
87,1310620004096,Tiradentes,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
89,1310620004098,Fernão Dias,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
90,1310620004099,Andiroba : Vila Andiroba,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
91,1310620004100,Ouro Minas : Vila São Gabriel,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
92,1310620004101,São Gabriel Especial,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
93,1310620004102,Dom Silvério / Três Marias,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
94,1310620004103,Vila da Luz,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
95,1310620004105,Grotinha / Nazaré,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
96,1310620004106,Beira Linha / Capitão Eduardo / Conjunto Paulo VI,Belo Horizonte (MG),0.54,0.387,0.572,0.711,8.67,0.252,0.48,0.43,16.22
97,1310620004107,São Benedito,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
98,1310620004108,Vila São Gabriel / Vila São Dimas,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
100,1310620004112,Cachoeirinha : Vila Cachoeirinha Humaitá,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
101,1310620005116,Minas Brasil / Coração Eucarístico,Belo Horizonte (MG),0.806,0.749,0.819,0.852,10.94,0.766,0.741,0.5,21.59
102,1310620005117,Álvaro Camargos,Belo Horizonte (MG),0.806,0.749,0.819,0.852,10.94,0.766,0.741,0.5,21.59
103,1310620005118,Alto Caiçaras : Monsenhor Messias / Alto Caiçaras,Belo Horizonte (MG),0.8,0.718,0.834,0.856,10.58,0.735,0.71,0.5,23.19
104,1310620005119,Bonfim,Belo Horizonte (MG),0.76,0.669,0.779,0.842,10.34,0.662,0.673,0.48,26.34
105,1310620005120,Marmiteiros,Belo Horizonte (MG),0.54,0.387,0.572,0.711,8.67,0.252,0.48,0.43,16.22
106,1310620005121,Vila Trinta e Um de Março,Belo Horizonte (MG),0.582,0.43,0.609,0.751,9.27,0.332,0.49,0.44,22.33
107,1310620005122,Delta / João Pinheiro,Belo Horizonte (MG),0.652,0.518,0.67,0.798,10.37,0.397,0.592,0.52,21.5
108,1310620005123,Vila Califórnia / Conjunto Novo Dom Bosco,Belo Horizonte (MG),0.54,0.387,0.572,0.711,8.67,0.252,0.48,0.43,16.22
109,1310620005124,Conjunto Jardim Filadélfia,Belo Horizonte (MG),0.581,0.423,0.613,0.755,8.8,0.325,0.482,0.45,17.51
110,1310620005125,Vila Coqueiral / Vila Califórnia,Belo Horizonte (MG),0.54,0.387,0.572,0.711,8.67,0.252,0.48,0.43,16.22
111,1310620005126,Vila Maloca / Vila Nova Cachoeirinha 1ª Seção,Belo Horizonte (MG),0.54,0.387,0.572,0.711,8.67,0.252,0.48,0.43,16.22
112,1310620005127,Sumaré : Vila Sumaré,Belo Horizonte (MG),0.577,0.418,0.609,0.753,9.36,0.318,0.479,0.45,19.54
113,1310620005128,Pedreira Prado Lopes / Vila Senhor dos Passos,Belo Horizonte (MG),0.577,0.418,0.609,0.753,9.36,0.318,0.479,0.45,19.54
114,1310620005129,Carlos Prates / Vila São Franscisco das Chagas,Belo Horizonte (MG),0.512,0.335,0.568,0.705,8.9,0.222,0.411,0.43,19.56
116,1310620005131,Pindorama,Belo Horizonte (MG),0.606,0.46,0.631,0.768,9.44,0.341,0.534,0.48,19.3
117,1310620005134,Pindorama : Coqueiros,Belo Horizonte (MG),0.686,0.591,0.679,0.805,10.23,0.505,0.639,0.43,23.93
118,1310620005135,Padre Eustáquio : Caiçara / Adelaide Especial,Belo Horizonte (MG),0.642,0.501,0.665,0.796,9.52,0.431,0.54,0.45,19.19
119,1310620005136,Aparecida 7ª Seção : Nova Cachoeirinha / Ermelinda,Belo Horizonte (MG),0.642,0.501,0.665,0.796,9.52,0.431,0.54,0.45,19.19
120,1310620005137,Oeste / João Pinheiro,Belo Horizonte (MG),0.694,0.562,0.722,0.822,10.1,0.506,0.592,0.54,22.21
121,1310620005138,Califórnia / Conjuntos Califórnia,Belo Horizonte (MG),0.747,0.689,0.732,0.825,11.05,0.629,0.721,0.43,21.74
122,1310620005139,Dom Bosco,Belo Horizonte (MG),0.694,0.562,0.722,0.822,10.1,0.506,0.592,0.54,22.21
123,1310620005140,Bom Jesus : Aparecida,Belo Horizonte (MG),0.707,0.592,0.724,0.823,10.51,0.529,0.627,0.48,22.66
124,1310620005141,Novo Glória : Ressaca / Glória / São Salvador,Belo Horizonte (MG),0.696,0.592,0.7,0.812,10.54,0.525,0.628,0.45,19.85
125,1310620005142,Alto dos Pinheiros / Dom Cabral / João Pinheiro,Belo Horizonte (MG),0.772,0.701,0.779,0.843,10.17,0.667,0.719,0.49,23.42
126,1310620005143,Conjunto Califórnia I,Belo Horizonte (MG),0.759,0.665,0.78,0.843,10.39,0.652,0.672,0.48,22.32
127,1310620005144,Jardim Montanhês / Padre Eustáquio / Caiçara / Adelaide,Belo Horizonte (MG),0.741,0.666,0.737,0.828,10.61,0.6,0.702,0.46,25.18
128,1310620005145,Aparecida / Nova Cachoeirinha / Ermelinda,Belo Horizonte (MG),0.731,0.618,0.755,0.837,10.32,0.619,0.617,0.5,24.88
129,1310620005146,Caiçaras : Caiçaras Remanescente,Belo Horizonte (MG),0.694,0.562,0.722,0.822,10.1,0.506,0.592,0.54,22.21
130,1310620005147,Carlos Prates,Belo Horizonte (MG),0.813,0.765,0.822,0.854,10.9,0.762,0.767,0.45,21.97
131,1310620005148,Padre Eustáquio,Belo Horizonte (MG),0.83,0.765,0.868,0.861,10.62,0.766,0.764,0.53,22.36
132,1310620005149,Alto dos Pinheiros,Belo Horizonte (MG),0.676,0.557,0.686,0.809,9.56,0.52,0.577,0.46,23.83
133,1310620006150,Vila Clóris,Belo Horizonte (MG),0.765,0.684,0.776,0.842,10.89,0.665,0.694,0.47,24.54
134,1310620006151,Guarani : Minaslândia / Floramar,Belo Horizonte (MG),0.697,0.58,0.712,0.819,9.65,0.537,0.602,0.45,25.28
135,1310620006152,Guarani,Belo Horizonte (MG),0.731,0.618,0.755,0.837,10.32,0.619,0.617,0.5,24.88
136,1310620006153,Novo Aarão Reis / Lajedo / Tupi,Belo Horizonte (MG),0.632,0.503,0.643,0.78,10.19,0.442,0.536,0.4,23.69
137,1310620006154,Granja Werneck / Jardim Felicidade,Belo Horizonte (MG),0.562,0.421,0.582,0.725,9.91,0.281,0.515,0.41,19.39
138,1310620006155,São Tomaz,Belo Horizonte (MG),0.642,0.501,0.665,0.796,9.52,0.431,0.54,0.45,19.19
139,1310620006156,São Tomaz / Aeroporto,Belo Horizonte (MG),0.624,0.494,0.636,0.773,9.47,0.386,0.559,0.46,20.35
140,1310620006157,Lajedo / Tupi B Especial,Belo Horizonte (MG),0.624,0.494,0.636,0.773,9.47,0.386,0.559,0.46,20.35
141,1310620006158,Mirante,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
142,1310620006159,Maria Tereza / Monte Azul,Belo Horizonte (MG),0.546,0.384,0.585,0.726,9.62,0.28,0.449,0.43,23.35
143,1310620006160,São Bernardo,Belo Horizonte (MG),0.652,0.518,0.67,0.798,10.37,0.397,0.592,0.52,21.5
144,1310620006161,Zilah Sposito Especial,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
145,1310620006162,Jaqueline / Vila Nova Especial,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
146,1310620006163,Juliana,Belo Horizonte (MG),0.624,0.494,0.636,0.773,9.47,0.386,0.559,0.46,20.35
147,1310620006164,Novo Aarão Reis / Novo Tupi,Belo Horizonte (MG),0.512,0.335,0.568,0.705,8.9,0.222,0.411,0.43,19.56
148,1310620006165,Primeiro de Maio : Vila Primeiro de Maio / Vila Minaslândia,Belo Horizonte (MG),0.546,0.384,0.585,0.726,9.62,0.28,0.449,0.43,23.35
149,1310620006166,Solimões,Belo Horizonte (MG),0.624,0.494,0.636,0.773,9.47,0.386,0.559,0.46,20.35
150,1310620006167,Xodó Marize / Zilah Sposito / Floramarx,Belo Horizonte (MG),0.606,0.46,0.631,0.768,9.44,0.341,0.534,0.48,19.3
151,1310620006169,Heliopolis,Belo Horizonte (MG),0.684,0.582,0.681,0.807,10.64,0.488,0.636,0.45,22.7
152,1310620006170,Jaqueline / Frei Leopoldo,Belo Horizonte (MG),0.636,0.522,0.637,0.774,10.1,0.411,0.589,0.42,20.21
153,1310620006171,Biquinhas : São Bernardo / Planalto,Belo Horizonte (MG),0.669,0.544,0.681,0.807,10.45,0.46,0.591,0.44,20.37
154,1310620006172,Planalto,Belo Horizonte (MG),0.823,0.768,0.846,0.857,10.84,0.762,0.771,0.47,20.81
155,1310620006173,Jaqueline / Jardim Guanabara / Juliana,Belo Horizonte (MG),0.684,0.582,0.681,0.807,10.64,0.488,0.636,0.45,22.7
156,1310620006174,Primeiro de Maio / Providência / São Gonçalo / Guarani,Belo Horizonte (MG),0.624,0.494,0.636,0.773,9.47,0.386,0.559,0.46,20.35
157,1310620006175,Heliopolis : Heliópolis II,Belo Horizonte (MG),0.806,0.749,0.819,0.852,10.94,0.766,0.741,0.5,21.59
158,1310620006177,Mariquinhas,Belo Horizonte (MG),0.546,0.384,0.585,0.726,9.62,0.28,0.449,0.43,23.35
159,1310620006178,Madri,Belo Horizonte (MG),0.642,0.528,0.644,0.78,10.17,0.419,0.592,0.45,21.6
160,1310620006179,Floramar / Jardim Guanabara,Belo Horizonte (MG),0.76,0.669,0.779,0.842,10.34,0.662,0.673,0.48,26.34
161,1310620006180,Campo Alegre,Belo Horizonte (MG),0.669,0.544,0.681,0.807,10.45,0.46,0.591,0.44,20.37
162,1310620006181,Granja Werneck / Ribeiro de Abreu,Belo Horizonte (MG),0.624,0.494,0.636,0.773,9.47,0.386,0.559,0.46,20.35
163,1310620006183,São Bernardo / Planalto,Belo Horizonte (MG),0.731,0.618,0.755,0.837,10.32,0.619,0.617,0.5,24.88
164,1310620006184,Planalto : Biquinhas,Belo Horizonte (MG),0.546,0.384,0.585,0.726,9.62,0.28,0.449,0.43,23.35
165,1310620006185,Jaqueline / Satélite,Belo Horizonte (MG),0.669,0.544,0.681,0.807,10.45,0.46,0.591,0.44,20.37
166,1310620006186,Etelvina Carneiro / Jaqueline,Belo Horizonte (MG),0.681,0.558,0.698,0.811,9.84,0.509,0.584,0.46,23.82
167,1310620007183,Buritis,Belo Horizonte (MG),0.881,0.823,0.956,0.868,11.2,0.849,0.81,0.5,20.7
168,1310620007184,Vila Antena : São Jorge / Leonina,Belo Horizonte (MG),0.546,0.351,0.611,0.759,8.28,0.259,0.409,0.56,15.46
169,1310620007185,Ventosa,Belo Horizonte (MG),0.606,0.46,0.631,0.768,9.44,0.341,0.534,0.48,19.3
170,1310620007186,Cabana do Pai Tomás / Parque da Colina,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
171,1310620007187,Vila Nova Paraíso,Belo Horizonte (MG),0.581,0.423,0.613,0.755,8.8,0.325,0.482,0.45,17.51
172,1310620007188,Custodinha,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
173,1310620007189,Vila Havaí,Belo Horizonte (MG),0.512,0.335,0.568,0.705,8.9,0.222,0.411,0.43,19.56
174,1310620007191,Prado / Grajaú / Barroca,Belo Horizonte (MG),0.883,0.872,0.913,0.864,11.48,0.879,0.869,0.43,23.76
175,1310620007192,Calafate / Nova Suiça / Jardim América,Belo Horizonte (MG),0.835,0.786,0.862,0.859,11.1,0.789,0.785,0.47,21.15
176,1310620007193,Vila Madre Gertrudes 1ª Seção / Vila Madre Gertrudes 2ª Seção,Belo Horizonte (MG),0.582,0.43,0.609,0.751,9.27,0.332,0.49,0.44,22.33
177,1310620007194,Ambrosina,Belo Horizonte (MG),0.587,0.444,0.608,0.75,8.96,0.336,0.511,0.41,17.43
178,1310620007195,Barão Homem de Melo 1ª Seção : Jardim América / Barão Homem de Melo 1ª Seção,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
179,1310620007196,Vila Madre Gertrudes 1ª Seção,Belo Horizonte (MG),0.587,0.444,0.608,0.75,8.96,0.336,0.511,0.41,17.43
180,1310620007197,Sport Club : Madre Gertrudes / Camargos,Belo Horizonte (MG),0.582,0.43,0.609,0.751,9.27,0.332,0.49,0.44,22.33
181,1310620007198,Vila Nova Gameleira 1ª Seção,Belo Horizonte (MG),0.587,0.444,0.608,0.75,8.96,0.336,0.511,0.41,17.43
182,1310620007199,Embaúbas / Nova Gameleira,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,16.99
183,1310620007200,Betânia / Vila Vista Alegre,Belo Horizonte (MG),0.607,0.471,0.621,0.765,8.87,0.341,0.553,0.42,21.83
184,1310620007202,Calafate / Vila da Amizade / Vila Calafate,Belo Horizonte (MG),0.562,0.421,0.582,0.725,9.91,0.281,0.515,0.41,19.39
185,1310620007203,Cabana do Pai Tomás,Belo Horizonte (MG),0.581,0.423,0.613,0.755,8.8,0.325,0.482,0.45,17.51
186,1310620007205,Vila Vista Alegre / Nova Cintra,Belo Horizonte (MG),0.606,0.46,0.631,0.768,9.44,0.341,0.534,0.48,19.3
187,1310620007206,Alpes / Nova Granada / Santa Sofia,Belo Horizonte (MG),0.652,0.518,0.67,0.798,10.37,0.397,0.592,0.52,21.5
188,1310620007207,Betânia / Bairro das Indústrias II / Vista Alegre,Belo Horizonte (MG),0.582,0.43,0.609,0.751,9.27,0.332,0.49,0.44,22.33
189,1310620007208,Maravilha / Santa Maria,Belo Horizonte (MG),0.688,0.595,0.68,0.805,10.58,0.514,0.64,0.41,20.34
190,1310620007209,Jardinópolis / Vila Oeste / Vila Nova Gameleira 2ª Seção,Belo Horizonte (MG),0.669,0.544,0.681,0.807,10.45,0.46,0.591,0.44,20.37
191,1310620007210,Jardim América / Ventosa,Belo Horizonte (MG),0.692,0.579,0.702,0.816,10.01,0.521,0.611,0.46,22.7
192,1310620007211,Estrela do Oriente / Parque São José,Belo Horizonte (MG),0.688,0.595,0.68,0.805,10.58,0.514,0.64,0.41,20.34
193,1310620007212,Palmeiras,Belo Horizonte (MG),0.582,0.43,0.609,0.751,9.27,0.332,0.49,0.44,22.33
194,1310620007213,São Jorge 1ª Seção Parte,Belo Horizonte (MG),0.587,0.444,0.608,0.75,8.96,0.336,0.511,0.41,17.43
